NAME,ADDRESS,LATITUDE,LONGITUDE,AMENITY_TYPE,PHONE_NUMBER,ENVIRONMENT,COUNTER
Fountain location:Kingcrest Park,E-side of washroom,49.247325000036675,-123.074579000005997,WaterFountain,null,Outdoor,0
Fountain location:Kitsilano Beach Park - North of parking lot,besides parking lot,49.276738999608853,-123.151743000554916,WaterFountain,null,Outdoor,0
Fountain location:Kitsilano Beach Park - South of playground,besides playground,49.274681453974949,-123.153201414458238,WaterFountain,null,Outdoor,0
Fountain location:Kitsilano Beach Park - washroom wall,opposite washrooms,49.274376595992798,-123.153819691889481,WaterFountain,null,Outdoor,0
Fountain location:Langara Golf Course - East of tennis courts,56th and Ontario,49.219405699889336,-123.106334999765664,WaterFountain,null,Outdoor,0
Fountain location:Langara Golf Course - cambie pathway,cambie pathway,49.223075200025050,-123.116335999479645,WaterFountain,null,Outdoor,0
Fountain location:Langara Golf Course - clubhouse building ,clubhouse building ,49.223785099803870,-123.112542999721470,WaterFountain,null,Outdoor,0
Fountain location:Langara Golf Course - servive yard,servive yard,49.218167186457762,-123.111721242292703,WaterFountain,null,Outdoor,0
Fountain location:Locarno Beach Park,near concessions,49.274968999576302,-123.207164000378000,WaterFountain,null,Outdoor,0
Fountain location:MacDonald Park,near NW corner of tennis court,49.229970000193632,-123.098511000346718,WaterFountain,null,Outdoor,0
Fountain location:Maclean Park,,49.278842199887308,-123.089442000272285,WaterFountain,null,Outdoor,0
Fountain location:Major Matthews Park,,49.261575299957798,-123.107009000081305,WaterFountain,null,Outdoor,0
Fountain location:Maple Grove Park - East of pool,E-side of pool,49.223179999985994,-123.159702000341355,WaterFountain,null,Outdoor,0
Fountain location:Maple Grove Park - South of baseball diamond,S-side of baseball diamond,49.223507000309354,-123.160831000303631,WaterFountain,null,Outdoor,0
Fountain location:Marpole Park,west entrance to playground,49.205623999810101,-123.138957999342210,WaterFountain,null,Outdoor,0
Fountain location:McBride Park,S of playground,49.267923000319598,-123.180133999556958,WaterFountain,null,Outdoor,0
Fountain location:McCleery Golf Course - 5th tee,5th tee,49.220377800240371,-123.170894999455570,WaterFountain,null,Outdoor,0
Fountain location:McCleery Golf Course - clubhouse building ,clubhouse building ,49.220955100377346,-123.167862999546472,WaterFountain,null,Outdoor,0
Fountain location:McCleery Golf Course - driving range ,driving range ,49.220590699627195,-123.169627999897457,WaterFountain,null,Outdoor,0
Fountain location:McCleery Golf Course - servive yard,servive yard,49.220632855952225,-123.170739863009786,WaterFountain,null,Outdoor,0
Fountain location:Melbourne Park,front of tennis courts,49.236423999777834,-123.029107000416232,WaterFountain,null,Outdoor,0
Fountain location:Memorial South Park - West of Softball Diamond,,49.231522925279613,-123.084772336234693,WaterFountain,null,Outdoor,0
Fountain location:Memorial South Park - West of wading pool,W-side of wading pool,49.231340821548308,-123.086922340561046,WaterFountain,null,Outdoor,0
Fountain location:Memorial West Park,S of tennis courts,49.243358000329636,-123.187295999658247,WaterFountain,null,Outdoor,0
Fountain location:Moberly Park - Arts & Cultural Centre,,49.215338600371474,-123.087199999567446,WaterFountain,null,Outdoor,0
Fountain location:Moberly Park - West of tennis courts,in front of tennis courts,49.214827999672757,-123.084598999858628,WaterFountain,null,Outdoor,0
Fountain location:Morton Park,,49.287429000160891,-123.142264000434565,WaterFountain,null,Outdoor,0
Fountain location:Mosaic Creek Park,near children's play area,49.273192000416643,-123.074217000538880,WaterFountain,null,Outdoor,0
Fountain location:Mount Pleasant Park,S-side of wading pool,49.256865000062554,-123.106445999547674,WaterFountain,null,Outdoor,0
Fountain location:Nanaimo Park,in front of wading pool,49.228277000295826,-123.056920000411750,WaterFountain,null,Outdoor,0
Fountain location:Nelson Park,middle of park,49.282837999919600,-123.129981000541790,WaterFountain,null,Outdoor,0
Fountain location:New Brighton Park - South of pool,S-side of pool,49.289268000085507,-123.036665999946621,WaterFountain,null,Outdoor,0
Fountain location:New Brighton Park - South west of playground,SW of playground,49.289430999620677,-123.038690999951044,WaterFountain,null,Outdoor,0
Fountain location:New Brighton Park - West of tennis courts,W-side of tennis courts,49.289590000105839,-123.035530999554226,WaterFountain,null,Outdoor,0
Fountain location:Norquay Park,front of wading pool,49.238173000096118,-123.050828000368782,WaterFountain,null,Outdoor,0
Fountain location:Oak Park - East of fieldhouse,East side of fieldhouse,49.216882000143613,-123.128154999626489,WaterFountain,null,Outdoor,0
Fountain location:Oak Park - East of spray park,In spray park,49.216584999726649,-123.127387000313647,WaterFountain,null,Outdoor,0
Fountain location:Oak Park - North west of field hockey ,Near parking lot,49.216606999876163,-123.129122000243129,WaterFountain,null,Outdoor,0
Fountain location:Oppenheimer Park,,49.282901000043850,-123.094056999888920,WaterFountain,null,Outdoor,0
Fountain location:Pandora Park,N-side of wading pool,49.282313220901280,-123.057406083566022,WaterFountain,null,Outdoor,0
